DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1
1971001,2.4,9.1,-8.5,0.0,3.5,6.0,0.0214853195164076,8.8,3.1245703699453395,-2383.148499478143,,,,0.2792367318900758,3.061922565851177
1971002,2.4,-3.4,-5.5,1.6,3.1,1.0,0.01902985442881816,1.05,4.761590310930633,-3135.7271702142607,-8.99681712962963e-05,-6.439073525783369e-05,1.3972223012525842,0.8537476721005087,6.59736530689913
1971003,3.5,-3.4,-8.0,11.3,2.6,4.0,0.015960523069331357,2.3,3.638166923123592,-2556.3990065553394,1.4510995370370367e-05,-8.048841907229221e-05,-0.1802867485487203,0.7046641055657943,5.512633426675876
1971004,6.9,-4.0,-11.0,0.1,2.3,1.0,0.014118924253639278,3.5,2.9485945071695854,-2121.746405353347,1.3930555555555556e-05,-4.8293051443375276e-05,-0.28845879767795285,0.5822326449958766,5.087711164805196
1971005,2.5,-3.0,-9.0,1.4,3.1,2.0,0.01902985442881816,3.0,4.1388595645024875,-2873.3305013797367,-5.804398148148147e-06,0.00012878147051566748,-0.0450716871371801,0.6327053096055382,6.3973688761413445
1971006,2.5,-4.4,-6.3,7.5,2.9,2.0,0.01780212188502344,0.9499999999999997,4.4811691344859925,-2990.3844136895177,-2.379803240740741e-05,-3.2195367628916844e-05,0.7391756690497542,0.8657635618247606,6.644064168760356
1971007,2.5,-0.9,-5.0,3.1,3.5,1.0,0.0214853195164076,2.05,5.014382082652731,-3296.4376749704584,1.2769675925925925e-05,9.658610288675055e-05,0.1322102822690617,0.7372060090601735,6.20516743968448
1971008,3.3,-1.6,-5.2,0.0,3.3,1.0,0.020257586972612877,1.8,4.8076029440255725,-3185.7951837386026,-2.902199074074071e-06,-3.219536762891694e-05,0.09014337427435991,0.7643675963008421,6.151740143165338
1971009,2.5,-3.9,-7.5,0.0,2.9,1.0,0.01780212188502344,1.8,4.214301162607184,-2876.4147355675636,0.0,-6.43907352578336e-05,-0.0,0.7603854914281827,6.3965723733370625
1971010,2.6,-4.7,-7.6,0.0,2.8,1.0,0.01718825561312608,1.4499999999999997,4.170356551043594,-2841.0234467752252,-4.063078703703707e-06,-1.6097683814458422e-05,0.2524014479682089,0.8013169360814408,6.555974790688104
1971011,2.6,-1.0,-6.0,0.0,3.4,2.0,0.02087145324451024,2.5,4.713415743948319,-3164.0945127682394,1.2189236111111114e-05,9.658610288675055e-05,0.1262007239841044,0.6882975695889508,6.066925724432001
1971012,6.6,0.6,-13.1,0.0,3.0,1.0,0.0184159881569208,6.85,3.0533869708953985,-2279.4601572633997,5.049826388888888e-05,-6.439073525783369e-05,-0.7842473561869342,0.3506006339112937,4.741244072959516
1971013,2.6,-4.5,-14.5,0.0,2.4,1.0,0.01473279052553664,5.0,2.769027892587014,-2017.707918792118,-2.1476273148148142e-05,-9.658610288675059e-05,0.2223536565434218,0.4555981764278183,5.510901719711422
1971014,5.6,2.0,-7.8,0.0,3.1,7.0,0.01902985442881816,4.9,3.6176739029526312,-2618.017079365422,-1.1608796296296255e-06,0.000112683786701209,-0.010302099917069703,0.48253446857064425,4.4390612895835
1971015,8.0,0.5,-5.5,0.0,3.3,4.0,0.020257586972612877,3.0,4.411403851816477,-3023.728177484917,-2.2056712962962963e-05,3.2195367628916756e-05,-0.68508964448514,0.6411131269524555,5.275295338268853
1971016,2.7,-3.6,-11.0,0.0,2.9,0.0,0.01780212188502344,3.7,3.6791023457147367,-2621.921139437214,8.126157407407409e-06,-6.43907352578336e-05,-0.12620072398410456,0.565050870014248,6.24828754562417
1971017,2.8,-3.5,-11.2,0.0,2.8,0.0,0.01718825561312608,3.8499999999999996,3.5124487024330455,-2520.201197530099,1.741319444444438e-06,-1.6097683814458422e-05,-0.10817204912923192,0.5519789621610213,5.983671147180964
1971018,2.8,-2.4,-4.6,0.0,3.4,0.0,0.02087145324451024,1.0999999999999999,5.213304983470409,-3353.62812887439,-3.1924189814814814e-05,9.658610288675055e-05,-0.33052570567265427,0.848452999999815,6.7299805943513125
1971019,3.9,1.0,-5.0,0.0,3.9,2.0,0.02394078460399704,3.0,5.233150539877387,-3438.7281694870103,2.2056712962962963e-05,8.048841907229212e-05,0.2740358577940552,0.6422933230023298,6.036318255122865
1971020,5.2,6.9,-0.7,0.2,4.8,2.0,0.02946558105107328,3.8000000000000003,6.119165527190383,-3873.581896093486,9.28703703703704e-06,0.0001448791543301258,0.0641019550395451,0.5839989451565508,4.933403786435865
1971021,3.2,8.5,1.8,0.0,5.5,5.0,0.0337626449543548,3.35,7.271489614482748,-4314.004121630642,-5.223958333333335e-06,0.00011268378670120896,-0.04635944962681387,0.6272875280996886,5.092397483245397
