DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1971001,3.0,11.9,-0.9,8.9,6.6,1.9,0.004051517394522575,5.5,0.7273512737045339,0.9956308908442784,561.5275152282409,,,,0.41112380333854043,0.471727841628412
1971002,3.0,-0.1,-3.1,1.7,4.7,2.4,0.002885171477917592,-1.6,0.8621925886991659,-3.5998778854754803,274.04902698201505,-8.24224537037037e-05,-3.0585599247470994e-05,2.6948124519914023,0.8020389692444233,0.7726789092825072
1971003,3.0,-2.4,-3.6,3.1,4.4,2.9,0.002701011596348384,-3.0,0.8955227848111326,-4.474304205164318,230.76129640488185,-1.625231481481481e-05,-4.829305144337527e-06,3.3653526395761157,0.9146016501366014,0.8565268659690628
1971004,3.0,-0.6,-5.5,0.1,4.4,0.0,0.002701011596348384,-3.05,0.8988767377203217,-4.4740644564924725,225.33443949274763,-5.804398148148128e-07,0.0,,0.6944099793656475,0.7504383565790101
1971005,3.3,3.8,-2.3,0.2,5.2,3.7,0.0031921046138662715,0.75,0.8033113543959242,-2.2494188994996205,372.6931022391089,4.411342592592592e-05,1.2878147051566729e-05,3.4254482224256924,0.6440290779854313,0.6464422928393526
1971006,3.0,-0.4,-4.2,0.2,3.9,1.9,0.002394078460399704,-2.3000000000000003,0.7531707969581974,-6.072844856464996,502.64153729076725,-3.54068287037037e-05,-2.0926988958795938e-05,1.6919217940726088,0.7549867424561618,0.6551547414031597
1971007,3.1,-1.9,-3.7,1.3,4.5,0.0,0.00276239822353812,-2.8,0.9023513157893399,-4.175672187350427,215.5507748680688,-5.804398148148142e-06,9.658610288675054e-06,-0.6009558284957345,0.8748711968722885,0.8442211991248285
1971008,3.4,0.6,-2.1,0.0,4.2,2.4,0.002578238341968912,-0.75,0.7234739745694289,-5.1036504118675765,550.8085001687015,2.3798032407407404e-05,-4.829305144337527e-06,-4.927837793665027,0.8210684134284456,0.6559196860958126
1971009,3.1,-1.6,-5.0,0.0,4.0,2.4,0.00245546508758944,-3.3,0.8323917133681135,-5.735051220121856,353.3953081748458,-2.9602430555555552e-05,-3.2195367628916847e-06,,0.77602890565011,0.7339329540286474
1971010,3.1,-4.0,-5.4,3.9,3.7,2.9,0.002271305206020232,-4.7,0.8554665901396473,-6.7512206583055345,326.9197471785636,-1.6252314814814818e-05,-4.829305144337527e-06,3.3653526395761166,0.8997550111910781,0.8115820413033108
1971011,3.3,0.4,-9.6,1.4,4.5,0.1,0.00276239822353812,-4.6,1.033089993972188,-4.167395597618977,20.100245431555766,1.1608796296296357e-06,1.2878147051566739e-05,0.09014337427436074,0.4703810842081309,0.7141521871357412
1971012,5.0,1.6,-3.3,0.0,4.7,0.0,0.002885171477917592,-0.8499999999999999,0.8158224375334097,-3.6039573517997368,355.47070523969603,4.3532986111111105e-05,3.2195367628916847e-06,,0.6989968543012594,0.6833109985189945
1971013,3.3,-1.0,-4.2,0.0,4.3,0.0,0.0026396249691586476,-2.6,0.8493777430848451,-4.781941550238592,311.80077414806374,-2.031539351851852e-05,-6.4390735257833804e-06,3.1550180996026036,0.788783364833305,0.7549565181285522
1971014,3.4,1.6,-4.4,0.0,4.7,1.9,0.002885171477917592,-1.4000000000000001,0.8495484475891281,-3.6009462415066413,295.76272392198376,1.3930555555555553e-05,6.4390735257833804e-06,2.163440982584642,0.6437027534453746,0.6834648415598414
1971015,5.3,0.0,-3.0,0.0,4.1,3.7,0.0025168517147791756,-1.5,0.7463122371645279,-5.418292485172543,508.60622037078645,-1.160879629629628e-06,-9.658610288675066e-06,0.1201911656991467,0.8021851796767155,0.6688897629664516
1971016,6.6,5.2,-6.3,0.0,4.6,0.8,0.0028237848507278555,-0.5499999999999998,0.7810248623248471,-3.893775446229324,423.55610140870505,1.1028356481481482e-05,8.048841907229211e-06,1.3701792889702762,0.43224185687909783,0.518607714145454
1971017,7.3,4.8,-5.6,0.0,4.7,0.0,0.002885171477917592,-0.3999999999999999,0.7893289040211781,-3.606502607762054,404.3179773579214,1.7413194444444432e-06,1.6097683814458538e-06,1.0817204912923146,0.46882474400158886,0.5448561695390242
1971018,3.4,-0.9,-5.8,0.0,4.3,0.0,0.0026396249691586476,-3.35,0.8983462954775443,-4.778342262420507,230.41761060642386,-3.424594907407407e-05,-6.4390735257833804e-06,,0.6937770865961849,0.749658882159416
1971019,7.3,5.4,-5.3,0.0,5.3,1.9,0.0032534912410560075,0.050000000000000266,0.8616066737049295,-1.9863549509561436,253.22283191628367,3.946990740740741e-05,1.6097683814458422e-05,2.451899780262599,0.4600040488481332,0.5893779653771314
1971020,7.8,11.0,-0.3,0.0,6.9,1.2,0.004235677276091784,5.35,0.7685880516480682,1.6186616348892966,465.696513886105,6.152662037037036e-05,2.57562941031335e-05,2.388799418270544,0.4558781662557226,0.5235894035509608
1971021,3.5,10.8,2.9,0.0,7.7,7.5,0.004726770293609672,6.8500000000000005,0.7729234285354654,3.1533922000655505,462.2969194176425,1.7413194444444454e-05,1.2878147051566739e-05,1.3521506141154047,0.5813107731712203,0.5918330708759916
1971022,3.6,14.0,5.4,0.0,8.5,6.0,0.005217863311127559,9.7,0.7020176477568588,4.535877767956943,646.5993295738486,3.308506944444442e-05,1.2878147051566715e-05,2.569086166819271,0.5613895381581502,0.5285782175242145
1971023,3.6,8.3,6.4,3.4,9.4,0.0,0.005770342955835184,7.3500000000000005,0.912435611135896,6.016929650830764,167.55410743344015,-2.7280671296296277e-05,1.4487915433012604e-05,-1.8829949292866324,0.8781680135818706,0.855259433794515
1971024,6.8,16.6,0.9,9.0,9.2,0.8,0.005647569701455711,8.75,0.811001596356203,5.6895941359188305,384.1774649221047,1.6252314814814808e-05,-3.2195367628917076e-06,,0.34553607100303696,0.48467367193827166
1971025,7.3,16.0,4.9,0.0,9.4,1.2,0.005770342955835184,10.45,0.7383019520103872,5.982426990945674,560.6929163815224,1.9734953703703695e-05,3.2195367628917076e-06,,0.47667661839915787,0.5138804567682156
1971026,5.0,14.6,5.0,0.0,9.0,0.0,0.00552479644707624,9.8,0.7385110104621418,5.359142692595292,556.8573171157209,-7.545717592592575e-06,-6.439073525783369e-06,1.1718638655666807,0.5251824181137278,0.5384707356089692
1971027,8.7,15.0,3.8,0.9,8.4,3.7,0.005156476683937824,9.4,0.7080112100395697,4.369318533548853,629.7853184198278,-4.643518518518522e-06,-9.658610288675054e-06,0.48076466279658847,0.47056455963118593,0.4897499055123018
1971028,6.2,11.2,1.9,1.7,7.7,1.2,0.004726770293609672,6.55,0.7891854037847135,3.156242703929597,424.48351203317316,-3.308506944444444e-05,-1.1268378670120896e-05,2.9360984763648776,0.5271875275198651,0.5764303180663316
1971029,10.1,14.0,-0.6,0.0,6.7,0.5,0.004112904021712312,6.7,0.679159172402935,1.1947766133510525,686.1562028293118,1.7413194444444483e-06,-1.6097683814458422e-05,-0.10817204912923256,0.3662838789312002,0.41710331578789506
1971030,7.1,13.2,1.4,0.0,7.2,1.2,0.004419837157660992,7.3,0.7003539530327836,2.199037775168975,636.7128522376564,6.965277777777773e-06,8.048841907229211e-06,0.8653763930338579,0.44592156944552397,0.4721417141379727
1971031,6.8,13.0,5.4,0.0,7.5,6.0,0.0046039970392302,9.2,0.6404676561548928,2.755942849072645,804.460837120513,2.2056712962962953e-05,4.829305144337527e-06,4.5672642965675845,0.5991778718624362,0.49767703242738176
1971032,4.8,11.8,5.1,0.0,7.6,2.9,0.004665383666419935,8.45,0.6831837936201454,2.9517327136988882,686.8617558990353,-8.70659722222222e-06,1.6097683814458195e-06,,0.6349482595107987,0.5460320666210148
1971033,4.0,9.0,-0.8,3.1,6.6,4.4,0.004051517394522575,4.1,0.8026754631379275,1.0072554335225679,385.8089757459201,-5.049826388888888e-05,-1.6097683814458422e-05,3.136989424747737,0.5025467900889332,0.5729082748553748
1971034,8.6,0.2,-2.5,11.7,3.9,2.9,0.002394078460399704,-1.15,0.6917275212221801,-6.078774733767248,627.2713763355385,-6.0946180555555555e-05,-4.346374629903773e-05,1.4022302664900488,0.8205337864841946,0.6269350492496598
1971035,4.1,0.8,-3.4,1.2,4.5,0.8,0.00276239822353812,-1.2999999999999998,0.8073187687509201,-4.183365676140061,378.3526185501906,-1.7413194444444432e-06,9.658610288675054e-06,-0.1802867485487204,0.7348535699266671,0.6929876702628782
1971036,4.2,-0.6,-3.0,0.0,4.9,0.0,0.003007944732297064,-1.8,0.9123935952355388,-3.0384526794105127,183.1048218839115,-5.80439814814815e-06,6.439073525783369e-06,-0.901433742743603,0.8379739970000891,0.8355800702378366
1971037,4.2,0.8,-2.6,0.0,5.5,0.1,0.0033762644954354803,-0.9,0.9586732571312443,-1.4759402920581914,86.6563206761792,1.0447916666666665e-05,9.658610288675066e-06,1.0817204912923217,0.7799128307782862,0.847367658898374
1971038,4.3,3.3,0.0,0.0,6.0,0.1,0.0036831976313841603,1.65,0.8689072893937166,-0.29715092464895954,242.63574266763027,2.9602430555555552e-05,8.048841907229211e-06,3.6778496703938983,0.7895688567968477,0.7727050625209522
1971039,4.4,5.5,0.4,0.0,6.0,0.8,0.0036831976313841603,2.95,0.7915495541294142,-0.30627489886302806,405.51071362611526,1.5091435185185185e-05,0.0,,0.696754527211725,0.6619570762773569
1971040,4.6,6.0,2.8,0.0,6.6,2.4,0.004051517394522575,4.4,0.7858357190023798,1.0048491333930245,423.4719530483851,1.683275462962963e-05,9.65861028867503e-06,1.7427719026376358,0.7992728673621944,0.7030614958106937
1971041,4.4,7.2,2.4,1.0,7.7,0.5,0.004726770293609672,4.8,0.8919234600587355,3.171859957304807,203.8163553188068,4.643518518518512e-06,1.770745219590429e-05,0.26223527061632007,0.715327556604154,0.7555848175270589
1971042,10.0,5.8,-1.6,0.2,5.5,0.8,0.0033762644954354803,2.0999999999999996,0.7708821882179989,-1.4946615029785104,446.9318019014404,-3.134375e-05,-3.541490439180853e-05,0.8850440383300825,0.589801164730446,0.594385218633622
1971043,10.8,8.6,-6.3,0.0,4.8,0.1,0.0029465581051073275,1.15,0.7201536055713966,-3.333131164833142,555.9551385138022,-1.1028356481481477e-05,-1.126837867012092e-05,0.9786994921216234,0.34228983657076245,0.4282638140934941
1971044,10.8,11.6,-5.3,0.0,5.3,0.1,0.0032534912410560075,3.15,0.689002627599208,-2.0068974861737163,640.3070448236839,2.321759259259259e-05,8.048841907229211e-06,2.884587976779528,0.3022025240158082,0.38660919085690854
1971045,8.6,12.4,-2.5,0.0,6.3,0.0,0.0038673575129533674,4.95,0.7214727114453061,0.3531244201106541,572.5705963266025,2.0895833333333334e-05,1.6097683814458422e-05,1.2980645895507879,0.35362302191523354,0.4357715636880985
1971046,9.9,14.0,0.2,0.0,6.7,3.7,0.004112904021712312,7.1,0.6605906569597071,1.1909899393319365,736.3442682921769,2.4958912037037026e-05,6.439073525783392e-06,3.876165093797476,0.38821436961047334,0.416989831610726
1971047,7.0,9.6,5.0,0.5,7.1,7.5,0.004358450530471255,7.3,0.6905842339589371,2.0020975044152145,661.0663412951906,2.321759259259261e-06,6.439073525783346e-06,0.3605734970974427,0.7300194464530656,0.590895292475524
1971048,4.8,8.6,4.4,0.0,8.2,2.9,0.005033703429558351,6.5,0.8436166706888354,4.053929287386427,306.45296445085177,-9.287037037037035e-06,1.7707452195904265e-05,-0.5244705412326414,0.7488937607363624,0.7309416252148684
1971049,4.9,6.2,3.6,17.4,7.9,0.0,0.004849543547989143,4.9,0.908786481947357,3.5359228341289346,170.86421663996967,-1.857407407407407e-05,-4.829305144337527e-06,3.8461173023727033,0.8341781804338412,0.8304190759769361
1971050,7.4,13.2,1.3,12.7,8.0,0.0,0.00491093017517888,7.25,0.7812501884246279,3.693741392491059,445.0955594147499,2.7280671296296287e-05,1.609768381445865e-06,,0.44273270329869513,0.5248790716761027
1971051,5.0,9.0,4.3,2.2,6.9,0.5,0.004235677276091784,6.65,0.7019509601077831,1.6069754447778295,629.014337365708,-6.965277777777773e-06,-1.7707452195904265e-05,0.39335290592448086,0.7238294315392363,0.5981143269794909
1971052,5.1,5.2,2.7,1.2,7.0,0.5,0.00429706390328152,3.95,0.8606232350299574,1.8322106856343077,264.5868660661233,-3.134375e-05,1.6097683814458424e-06,,0.8388899922180904,0.7886027308901524
1971053,5.2,6.0,2.4,0.8,7.2,0.0,0.004419837157660992,4.2,0.8697961463549541,2.226642515791228,246.68502349479638,2.9021990740740736e-06,3.2195367628916847e-06,0.9014337427436026,0.7768798995589503,0.7673487904379365
1971054,5.2,5.6,2.8,2.0,7.0,0.5,0.00429706390328152,4.199999999999999,0.8455308728586951,1.830213897429112,296.03429628215844,-1.031068234906511e-20,-3.2195367628916847e-06,3.2025359883775286e-15,0.8217154779608631,0.7668866902697912
1971055,5.3,4.8,1.2,0.1,6.6,0.0,0.004051517394522575,3.0,0.8679243013273537,1.0157009431889878,247.66619734407354,-1.3930555555555546e-05,-6.439073525783392e-06,2.1634409825846372,0.7749678412671972,0.7647648646972
1971056,5.5,5.5,0.8,0.4,5.8,0.0,0.003560424377004688,3.15,0.7542351308807825,-0.7745399861751885,488.29724842770077,1.7413194444444432e-06,-1.2878147051566729e-05,-0.1352150614115404,0.7171731881805964,0.6397445030216492
1971057,8.3,6.2,-1.2,0.2,6.2,0.5,0.0038059708857636322,2.5,0.8447813138879859,0.1502397498220317,292.9113014483193,-7.54571759259259e-06,6.4390735257833804e-06,-1.171863865566681,0.590814113062532,0.6519112763652252
1971058,8.1,1.0,-7.8,7.0,3.3,1.2,0.0020257586972612877,-3.4,0.6915921856404124,-8.24111174010077,649.0074273324462,-6.849189814814814e-05,-4.6683283061929446e-05,1.4671611261206217,0.5183929457407241,0.5009497390419959
1971059,10.4,-0.8,-6.6,0.4,3.1,0.0,0.0019029854428818161,-3.6999999999999997,0.6643948669256386,-9.042832840561513,714.2539208459535,-3.4826388888888865e-06,-3.219536762891673e-06,1.0817204912923264,0.6478870409204411,0.5361863125323431
