Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_Precipitation,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,-0.3838541666666671,0.899775,0.010416666666666668,0.8604166666666666,-2.022321832745841,0.0034150367234293483,0.0038312374686704648,233.82198699674578,-3.6525,4.135000000000001,0.0023701292438271493,-0.0015973979611251347,4.2217477586215395,0.6033650603806703,0.6628224001804406,3.822168695750247,0.07484136239715948,0.007978559231302819,0.1090122954329262,4.820318405685501,0.0011890489273133859,0.0010419892896369022,177.24751127582275,4.3710210477644695,4.482577383604214,0.030184858977863716,0.019524466258737987,5.988366862466993,0.23535145941398952,0.14001178425201477,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.05364583333333317,0.8698583333333333,0.1395833333333333,0.675,-2.1316111813269485,0.0033936724965193342,0.003947347747839775,299.9820403534732,-3.1975000000000002,3.7700000000000005,0.005078848379629633,-0.000560243469110583,-5.354363997030263,0.6539223089405575,0.6923496807348077,3.911842173058788,0.0884322778526241,0.26808433927210845,0.19445436482630066,5.025851707932829,0.001272001109314618,0.0010321903910688007,209.8777782242363,6.457793095684211,3.7053564830750987,0.00845080987633049,0.00850874495577528,6.305505893222006,0.26630314487333956,0.2176282942444658,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.5546874999999994,0.80861875,0.008333333333333335,0.49375,-3.5760204767486807,0.003057723926829854,0.0037233273289852434,401.01655018872754,-4.0775,2.3024999999999998,-0.007062017746913574,-0.008809726320466485,1.4564766634115875,0.630397677232732,0.6600631503880711,3.6045952117574864,0.09656954085561778,0.011785113019775794,0.05597928684393503,5.054224624580816,0.001200477514607227,0.0010026449911549199,212.42299719000374,3.521849656075625,4.128852746223822,0.03393844455600351,0.015936025858676203,1.128126814771286,0.06526880582919935,0.09223828582754678,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-1.963645833333334,0.8917666666666667,0.020833333333333336,0.2562500000000001,-3.6364662877954723,0.0031025146860978337,0.003451722245855723,256.58867299425884,-4.7425,1.4525,-0.016356310281635814,0.0011745676762414288,3.482464055972393,0.6378704967462674,0.6970240238356373,5.1556588199256215,0.05732856407812131,0.027638539919628335,0.20918575610102036,5.979641382043738,0.0014113506064637022,0.0013597833034307493,147.7409305027342,5.0600815210824415,6.50835040544069,0.018298978460489432,0.0068353640706893416,6.1997538114458015,0.05691377965697734,0.02332190796032899,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.024791666666666767,0.934271875,0.03958333333333333,0.1895833333333334,-1.1049563265446896,0.0036748562152963027,0.003971126713833645,168.8701899299151,-3.5300000000000002,3.6649999999999996,0.02308336588541668,0.015008762319590464,-0.41578923992409766,0.5996804418842603,0.7245334407053184,4.668378957936834,0.10457132126540303,0.04683254250024268,0.29757410374933885,4.79339681048475,0.0014290680844987892,0.0014853367501922357,211.5452420973389,5.288522162822679,5.601062399223919,0.02003807293854875,0.014066068816349146,3.016307471677598,0.10244232120746119,0.1124995198587203,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,-0.13302083333333375,0.8678322916666668,0.12708333333333333,0.15833333333333333,-2.4237835351873094,0.00375182260705241,0.004038277985217803,312.05523868545794,-2.7725,2.07,-0.001832013165509263,0.0020183233638167925,1.6341008162975252,0.7078033231754187,0.7484476399390607,6.540591749751798,0.24735993907736714,0.13580606406577372,0.22391714737574003,10.332536056429042,0.002308944628397908,0.0019337447828161147,579.5342552269068,6.6644898529444845,6.938285090712258,0.058014556927048905,0.03326864899936694,0.64867141167767,0.09864741840227732,0.23844812057077053,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-2.4621874999999998,0.791965625,0.056249999999999994,0.01875,-5.9750371001119245,0.003151604696060274,0.0036908468111230626,495.6535995055308,-7.2225,1.5974999999999997,-0.027038821373456787,-0.015739776875282815,1.8301709892013691,0.5336487786655366,0.607732464039026,8.863671593503273,0.22720027586154576,0.0858980338670346,0.0029462782549439476,12.289743205393156,0.002532271526073369,0.0024543806501073837,547.9485660420951,9.370803505214125,9.823096507720974,0.03735082623123531,0.022972550500484388,2.9095338456680597,0.15442564156107064,0.24793932235494698,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-3.667604166666666,0.8673520833333334,0.010416666666666666,-0.1291666666666666,-6.056864039282805,0.002999069806446604,0.0032842379973470463,364.7962165670332,-8.594999999999999,1.0775000000000001,-0.013993436535493817,-0.0039999891443534795,1.4299620018520003,0.5027023032533183,0.6372170603876156,7.762660711157671,0.24162148295279037,0.015774745405000762,0.3771236166328253,11.277028006613884,0.002085982495420869,0.00189183584445771,593.0489230023252,9.658255536068612,7.79049581220605,0.012848839766809837,0.015010167140189231,1.4092144074819402,0.18398350473039893,0.25098980456405096,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-0.4504166666666664,0.8924135416666666,0.13958333333333334,-0.29791666666666666,-2.230467435013416,0.0036614644600327408,0.003901059314134559,251.15430111150766,-3.6275000000000004,2.9075,0.03734767433449074,0.0173702647986502,1.9876487689161133,0.6286422077056906,0.713663985034524,6.189756070180256,0.200728849647302,0.12025724741384848,0.7041605029316036,9.400934533831053,0.0017963692370934492,0.001459115362786093,472.3957122693489,7.719526647837072,5.69965130512385,0.041655265278842044,0.02376562338250036,0.849246654335231,0.13170337657503844,0.21460538336252338,2016-01-01 00:00:00,2019-07-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-0.7428125000000004,0.9150364583333332,0.03125,-0.13541666666666685,-2.1269241219783033,0.003720307166325309,0.003964124153612782,218.44671601827338,-5.0725,2.9800000000000004,-0.0033943636670524776,0.0015430580307940157,-1.8797161647664602,0.5683360557326929,0.7059657498354808,7.6295031282002626,0.13018661033794804,0.03218508396182352,1.5291184143159091,9.446239287156835,0.0020043673040013987,0.001851025588886938,328.3668932277411,9.749927777510285,7.3714629936442515,0.030092838558586826,0.02130898341875298,5.808419510246203,0.16374631737863898,0.14546325512531227,2016-01-01 00:00:00,2019-07-18 00:00:00,-1.0279791666666667,1.248689791929888,0.8738890625,0.044396403384730464,0.058333333333333334,0.05529452565942884,0.2089583333333333,0.37325862399387705,-3.1284452336735393,1.6916389876686795,0.003392807278409001,0.0002977937182881567,0.00378033077666201,0.0002465607390819013,300.23855123509236,97.36753072929568,-4.648999999999999,1.874544833641845,2.59575,1.0597327034577058,-0.00017969449266975302,0.018909060015864877,0.0006407842418754402,0.009859764408269854,0.8392701652551707,2.7772701996029117,0.6066368653717145,0.05976864554897827,0.6849819595079982,0.04270759519671301
11,1.0314791666666667,0.8584216666666666,0.030416666666666668,0.9108333333333333,-1.1880378916980856,0.004024783025349837,0.004607139730586752,317.0047830727073,-2.495,3.9174999999999995,0.02059739052854939,0.007984403659388522,1.539412509241265,0.6401030357644403,0.7005772595768407,8.512895354493143,0.10219856917848513,0.03845090665019776,3.0841640772753247,9.615868512585928,0.0024202690214913656,0.002628762983254155,245.2315194363825,7.135126721603012,9.135755305392106,0.025416335539696727,0.016039329639772282,1.9053272438860989,0.10128477722404966,0.08646463242378306,2016-01-01 00:00:00,2019-07-18 00:00:00,-0.8864458333333332,1.4007613221584512,0.8697537291666666,0.043636776611440324,0.060333333333333336,0.05370774250458002,0.21399999999999997,0.38324265231776533,-3.045016839568764,1.7709649248891848,0.0034537819086010503,0.00035898777897674683,0.003857921002853639,0.0003602389493260337,308.55683084268856,94.57620861940315,-4.53325,1.9759101454210353,2.574,1.0263366623308572,0.001643031635802471,0.020027579072784806,0.0015989644039268059,0.010081185898192423,0.5710366403171433,2.533083765067384,0.6103106629100914,0.0606675191205313,0.6887574454476383,0.042196725203659316
12,1.6952083333333334,0.9044802083333334,0.08750000000000001,1.6895833333333337,0.17760504017821066,0.004169894787871268,0.0045348528889964605,212.03579600143053,-2.3025,5.944999999999999,0.007705096691743828,0.0038053292349955635,1.5335298277650504,0.5864576257274872,0.6925510019322598,5.29299433803778,0.1121985289572622,0.14280587704474393,4.363438095571987,6.952025087456516,0.0018455672692023442,0.001551392450911418,260.15751261625854,8.198985201433976,4.357265962351469,0.038980666787347636,0.017011296602672678,1.2024147736343516,0.21363583384836848,0.2027739528678964,2016-01-01 00:00:00,2019-07-18 00:00:00,-0.7222895833333332,1.6045381365671851,0.8732159166666668,0.04499822767838309,0.055125000000000014,0.04731324968419536,0.3154583333333333,0.5947699475505293,-2.814095217418248,2.0342780541465184,0.0035314041377362436,0.0004227952537009724,0.003916671516969308,0.00041948014284524845,299.76220640748426,99.42683634865402,-4.44375,2.0615502021806575,2.7915,1.4506881508825769,0.0019056564670138904,0.020094746106259952,0.0020355216743374203,0.010071813400941872,1.2598260227966747,1.4460802396775463,0.6035641945887844,0.05900731993330652,0.6887775775673834,0.042198677473535715
13,2.2624652777777783,0.9292746527777778,0.09305555555555557,1.426388888888889,1.1704007851312106,0.004184627069139324,0.004495687236602921,141.76365012688112,-0.705,4.9525,0.00658517031571502,0.0003863310570653214,1.0887984266110102,0.6751211838269522,0.7697657541845417,1.8139609280934612,0.045732262639861396,0.1306146438389861,3.462859042310787,1.9284762906858124,0.0005220606329263507,0.0005597203208681847,92.96712854691715,2.7149033131955176,1.7728202578565786,0.04114257766299921,0.0357379554005111,0.3144852725667786,0.11588824674558484,0.05798637769546236,2016-01-01 00:00:00,2019-07-18 00:00:00,-0.44057430555555543,1.8636260900173762,0.8852815069444444,0.041816487595288734,0.06359722222222224,0.045556282458066935,0.40872222222222215,0.6911471033113269,-2.3394530912302587,2.3637872537341336,0.0036440944519671907,0.00043258122238750926,0.003993907507731076,0.0004499253713474573,273.8369164012996,103.79528843398923,-4.1065,2.379463991929461,3.0565,1.587066301212537,0.00327037527327675,0.019880318252893058,0.002955127412090601,0.009366705249889366,1.223058199116617,1.4451986703831086,0.6080365452482063,0.06283764084724326,0.6997478379470305,0.04779313725747066
