Date,Tavg,RH,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,Precipitation,tendt,tendq,bowen,R2,R1,std_Tavg,std_RH,std_SAvg,std_dewpoint,std_q,std_qsat,std_lcl,std_Tmin,std_Tmax,std_Precipitation,std_tendt,std_tendq,std_bowen,std_R2,std_R1,period_start,period_end,rolling_meanTavg,rolling_std_Tavg,rolling_meanRH,rolling_std_RH,rolling_meanSAvg,rolling_std_SAvg,rolling_meandewpoint,rolling_std_dewpoint,rolling_meanq,rolling_std_q,rolling_meanqsat,rolling_std_qsat,rolling_meanlcl,rolling_std_lcl,rolling_meanTmin,rolling_std_Tmin,rolling_meanTmax,rolling_std_Tmax,rolling_meanPrecipitation,rolling_std_Precipitation,rolling_meantendt,rolling_std_tendt,rolling_meantendq,rolling_std_tendq,rolling_meanbowen,rolling_std_bowen,rolling_meanR2,rolling_std_R2,rolling_meanR1,rolling_std_R1
1,-3.8978914141414136,0.708698106060606,,-11.587481973379768,0.002256536656654058,0.0031438178948738522,999.0907141801617,-8.113333333333333,-0.6433333333333334,0.0,0.003445169508498741,-0.0018495076349832479,1.6294655145039505,0.5744434511549891,0.5427428066107755,7.617098699620911,0.42720689993452826,,14.365420876604409,0.002047871539763867,0.001723906035720581,1427.185935762478,9.387972802119387,6.8198631462319925,0.0,0.017425752182258326,0.008616104668389666,1.1467991943720255,0.13270846549279494,0.312547569190529,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-1.5845915032679736,0.7194178104575163,,-9.027770220623125,0.0026208643754524444,0.003497875294631688,935.485561857777,-3.6199999999999997,1.253333333333333,0.0,0.026854627437570142,0.009553925163427068,2.1036153230678116,0.7127742108556702,0.569885731749231,4.520126108072647,0.4131636167653074,,14.245878410979374,0.0018814274550376237,0.0012652880216711072,1406.7026113279057,4.00374824383352,6.824297277620116,0.0,0.04647535850557395,0.01645090765001755,0.6387964310249674,0.1370418991711801,0.3167783644901202,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-0.22361111111111143,0.7117972222222222,,-7.014463932758062,0.0032292127095320776,0.00401765362527002,854.0272135566137,-3.233333333333333,3.97,1.0666666666666667,0.015799344135802463,0.01595298451696639,3.6105061095856317,0.6013110338925128,0.5201677563394954,6.697123142902758,0.4235765471031028,,16.760299770904656,0.0024477373458069696,0.0018303634250806263,1307.47656054981,6.039083815723485,8.298801118233886,1.8475208614068022,0.04907122494973544,0.019035295697418568,3.578035214617578,0.08553544873452182,0.30739652168696874,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.5662500000000005,0.9318652777777777,,-0.49065348302407735,0.003986247720075216,0.004323785626241069,169.3832301155754,-2.2533333333333334,4.04,0.13333333333333333,0.009169336741255153,0.0198520602842898,0.9844564105170472,0.6435792462843999,0.7395270466339804,7.687241131594467,0.054449698424920714,,7.704778151765112,0.0019280184405660646,0.0022268930908212908,144.0628180228456,8.486497117971192,9.380063965666759,0.23094010767585033,0.011997092449262272,0.017727237425687745,0.8951942394643436,0.12012450002550197,0.14274385123885577,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.596413398692811,0.7150008169934642,,-5.348838962942,0.003387980056651032,0.004465842387384441,856.8864778357857,-0.19666666666666663,4.053333333333334,0.0,0.011958957047325101,-0.015688634680075104,-0.21493343387953842,0.7391380432345152,0.6112074134935904,5.81630125969914,0.35055494052363867,,13.845407852567448,0.0022587071619820788,0.0019340210162628617,1172.0667105153552,6.140002714440225,5.683575752405639,0.0,0.03522434099779605,0.009200903308493628,1.7878650678943504,0.06607699972165802,0.320726115543169,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.8925132275132275,0.8362791005291005,,-0.6140155019271978,0.0042093217202861175,0.004948541790080831,448.3914523764368,0.18666666666666676,5.843333333333334,0.4666666666666666,0.015046158892440728,0.021538401782480676,0.8455346681131924,0.6758561710274006,0.6797615539235545,6.45919558252235,0.09028497322217427,,8.0561211184786,0.0022102723921194885,0.002124716138729312,282.6287846589967,7.254600839007845,6.828340452359807,0.8082903768654761,0.061160273061548656,0.05642761976313669,0.4398256894419361,0.12317486150472873,0.0598924906101904,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-1.1325000000000005,0.7163027777777778,,-9.750458462035978,0.002790409586727983,0.003912168424120801,1088.0815158311432,-5.126666666666667,1.6833333333333333,1.3333333333333333,-0.046725558648099165,-0.037208753652353384,2.5513107990271853,0.6214209927230874,0.5653361347139818,8.872167769913958,0.48806920276720467,,15.911355297660238,0.002901180070354959,0.0021988599343650728,1742.153266467353,11.131317681808087,9.735288045729995,2.3094010767585034,0.028980093879340054,0.03952770432069685,2.51029738881104,0.20357079449112414,0.3729092550583426,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,-1.177041666666667,0.619655,,-10.342835560655033,0.0019591132913429937,0.0036037867368149765,1150.1116822676183,-5.0200000000000005,1.54,0.0,0.010177528452932107,-0.05039541343213697,2.9422936939261177,0.6238805685975044,0.5045857577304493,5.2043648350980884,0.29888696533974163,,4.03923348387657,0.00028306475878706234,0.0013109703864866832,1061.6364463566376,8.18829652614022,4.850752518939715,0.0,0.0828657243357018,0.08909071180594788,3.5571752068217166,0.16774269650525195,0.22820620335147765,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.399361111111111,0.6257695833333333,,-6.683840391771898,0.0028745841340815335,0.004912946186654877,1226.8977498203733,0.05333333333333338,6.266666666666667,0.6666666666666666,0.03655851803626544,0.04235772781958798,0.9465803872323979,0.6457585261404764,0.5085450794556611,2.813634655483373,0.3465367050281554,,8.254370763005735,0.0012122298724320788,0.000979527139658424,1311.1653356757456,2.626505917246967,2.466603602797445,0.6110100926607788,0.03835427317196333,0.006702519214746253,1.055267803695076,0.05544623583241379,0.2735309681666597,2013-01-16 00:00:00,2016-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5.485462962962963,0.7528789351851852,,-1.6193888742193323,0.004014666739448272,0.005658009740860702,861.8219585452754,3.2099999999999995,8.01,2.6666666666666665,0.024217131451474628,0.029896884946671812,1.002707098538163,0.7318475541261426,0.6142302443081317,2.7340289078446194,0.3219068132249202,,6.99543157399758,0.0012006891800947935,0.0010757974496242565,1175.41804556274,4.5662128728301745,1.4262888907931663,3.946306289852998,0.018583790233690164,0.008981499921596222,0.9630358994182234,0.19299626887301743,0.21221948002627367,2013-01-16 00:00:00,2016-12-14 00:00:00,0.5924365005092946,2.7847686988834477,0.7337664630336984,0.09236167045892082,,,-6.247974736333647,4.125407176359991,0.0031328936990251723,0.0007696128755950102,0.004248442770693326,0.0007700645520995679,859.0177556386761,323.5663045066811,-2.4113333333333324,3.302874617774756,3.6016666666666666,2.6574355270160206,0.6333333333333333,0.8625257197811266,0.010650121305546533,0.02238983783656712,0.003400967511387502,0.029720662967956078,1.6401536570631958,1.155328913228291,0.6570009798036699,0.056175545135298835,0.5855989524958851,0.07696450311380951
