DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1
1971001,2.9,10.6,-1.2,6.0,5.3,3.7,0.03253491241056007,5.8999999999999995,5.84698396024406,-3853.2727014119596,,,,0.4383969090233439,4.24958766453495
1971002,2.9,-0.9,-4.2,2.1,4.3,1.9,0.02639624969158648,1.6500000000000001,6.372441572443217,-3876.6443639074687,-4.9337384259259244e-05,-0.00016097683814458405,0.30648747253282516,0.7830355396364538,7.663465258499763
1971003,3.0,-3.4,-5.2,1.8,3.7,0.1,0.02271305206020232,0.9000000000000001,5.76694711561709,-3591.6766118992837,-8.70659722222222e-06,-9.658610288675055e-05,0.09014337427436024,0.8734010298445289,7.904507322132978
1971004,3.0,0.1,-6.0,0.8,4.6,0.0,0.028237848507278555,3.05,6.177655706930273,-3862.7535946537987,2.4958912037037026e-05,0.0001448791543301257,0.17227400416877744,0.6353027039241067,7.631433611469968
1971005,3.9,5.6,-2.7,0.4,5.0,0.1,0.030693313594867995,4.15,6.225949294949695,-3936.2273544849877,1.276967592592593e-05,6.439073525783369e-05,0.19831542340359265,0.5513612087067177,5.62709465324334
1971006,3.0,-2.2,-5.0,0.0,3.7,1.9,0.02271305206020232,1.4,5.562026902064907,-3523.5643082267857,-3.192418981481482e-05,-0.0002092698895879594,0.1525503256950713,0.8111211201333303,7.228833004622989
1971007,3.0,-2.2,-4.6,3.6,3.9,0.0,0.02394078460399704,1.1999999999999997,5.9555214884608825,-3684.643906771923,-2.321759259259261e-06,3.2195367628916844e-05,-0.07211469941948827,0.835995502666658,7.629895713535107
1971008,3.1,0.4,-3.1,0.0,4.0,0.0,0.0245546508758944,1.75,5.874181649760953,-3674.4495473252455,6.384837962962965e-06,1.6097683814458422e-05,0.3966308468071853,0.7734944169538411,6.4732175885502885
1971009,3.1,-2.7,-6.2,0.0,3.8,1.9,0.02332691833209968,1.75,5.573457601969578,-3543.3023447372057,0.0,-3.2195367628916844e-05,-0.0,0.7683255846748711,7.7077654376837375
1971010,3.1,-4.1,-6.2,6.2,3.5,0.1,0.0214853195164076,1.0500000000000003,5.3894794597105555,-3432.105415319941,-8.126157407407404e-06,-4.8293051443375276e-05,0.16826763197880573,0.8529539438541522,7.86903764382165
1971011,3.4,0.4,-6.5,3.3,3.6,0.0,0.02209918578830496,3.45,4.6694218912976355,-3176.3206829822234,2.7861111111111105e-05,1.6097683814458422e-05,1.7307527860677168,0.5983380744092771,5.806127617897299
