DATE,RAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1
1971001,3.6,11.4,0.0,9.0,7.4,4.4,0.04542610412040464,5.7,8.390385482265248,-4868.790336905697,,,,0.4537255186823449,5.703003458359434
1971002,3.0,0.8,-0.6,1.6,5.9,2.9,0.036218110041944244,0.7,9.461102067493316,-4890.631065607738,-5.8043981481481476e-05,-0.00024146525721687625,0.24038233139829412,0.9034713545343339,9.393112394390108
1971003,3.4,4.2,0.0,1.9,6.3,4.4,0.03867357512953367,2.1,9.154322680775424,-4887.648332584727,1.6252314814814814e-05,6.439073525783332e-05,0.2524014479682102,0.7411053919878048,7.890826569356347
1971004,4.1,4.0,-3.4,2.6,5.4,2.4,0.03314877868245744,3.7,6.959482908176372,-4212.9991205686665,1.8574074074074073e-05,-0.00014487915433012552,-0.1282039100790904,0.5852029909078695,6.81419253439803
1971005,3.0,3.2,-0.9,1.0,5.7,5.0,0.034990377498149525,2.0500000000000003,8.280564341980368,-4599.218653823025,-1.9154513888888884e-05,4.8293051443375364e-05,-0.3966308468071843,0.744714907149203,7.631081035081228
1971006,3.0,0.7,-2.2,2.1,5.3,2.4,0.03253491241056007,1.4500000000000002,8.019107976418535,-4475.154058928246,-6.965277777777778e-06,-6.439073525783405e-05,0.10817204912923171,0.8091641579536367,8.46360311350626
1971007,3.1,0.0,-3.0,0.9,5.0,4.4,0.030693313594867995,1.5,7.523621262068506,-4304.997366237532,5.804398148148128e-07,-4.829305144337518e-05,-0.012019116569914681,0.8021851796767155,8.38321293655464
1971008,3.1,-1.0,-3.5,0.1,4.6,4.4,0.028237848507278555,1.25,7.03005669338559,-4111.70334285803,-2.9021990740740736e-06,-6.439073525783369e-05,0.04507168713718013,0.8312526320687776,8.275554249194624
1971009,3.1,-1.0,-4.0,0.1,4.7,2.4,0.02885171477917592,1.5,7.05879289075396,-4135.277240336012,2.9021990740740736e-06,1.6097683814458513e-05,0.1802867485487195,0.8007160868155296,8.45978458976054
1971010,3.1,-1.5,-3.5,3.4,4.7,3.7,0.02885171477917592,1.0,7.318654292251232,-4204.601472383308,-5.804398148148147e-06,0.0,,0.8622908031127612,8.777759591330803
1971011,3.2,-1.0,-4.2,4.1,4.5,4.4,0.0276239822353812,1.6,6.701368195597468,-4004.26028471633,6.965277777777778e-06,-3.2195367628916844e-05,-0.21634409825846462,0.788783364833305,8.089173239133308
1971012,5.6,0.7,-7.4,0.2,4.0,2.9,0.0245546508758944,4.05,4.984558461168682,-3359.854635870432,2.844155092592592e-05,-8.048841907229212e-05,-0.35336202715549214,0.546360777812062,6.326712655120864
1971013,5.9,3.4,-6.2,0.0,4.9,2.4,0.03007944732297064,4.8,5.824237855034126,-3790.8468304012945,8.70659722222222e-06,0.0001448791543301258,0.0600955828495735,0.49410953440157135,6.425572022878826
1971014,3.3,0.0,-3.0,0.8,5.1,8.6,0.03130717986676535,1.5,7.678956805095112,-4360.07463121248,-3.830902777777777e-05,3.219536762891666e-05,-1.1898925404215621,0.8021851796767155,8.556295935877412
1971015,3.3,-2.5,-4.9,0.3,4.2,5.0,0.02578238341968912,1.2000000000000002,6.425762459037858,-3876.6919443362194,-3.4826388888888865e-06,-0.00014487915433012563,0.024038233139829415,0.835620646756005,8.417114673227163
1971016,5.9,1.0,-5.5,0.0,4.2,2.9,0.02578238341968912,3.25,5.546630931656069,-3595.1415830484607,2.3798032407407404e-05,0.0,,0.6184058791098492,6.512063160543342
1971017,3.3,-4.5,-8.0,0.0,3.7,1.2,0.02271305206020232,1.75,5.423378920162634,-3475.902644371891,-1.741319444444444e-05,-8.048841907229212e-05,0.2163440982584646,0.7652474508466256,8.580596299775427
1971018,3.4,-4.8,-9.4,0.0,3.4,2.4,0.02087145324451024,2.3000000000000003,4.781465195914396,-3191.1579266373606,6.384837962962965e-06,-4.8293051443375276e-05,-0.13221028226906176,0.7017397817282977,8.047918144981125
1971019,3.4,-5.3,-7.6,0.0,3.5,1.9,0.0214853195164076,1.15,5.350606807166819,-3418.533625918794,-1.3350115740740745e-05,1.6097683814458422e-05,-0.8293190433241147,0.8385224638937205,8.614360688899415
1971020,3.7,-3.0,-7.0,0.0,3.9,2.4,0.02394078460399704,2.0,5.621677634277088,-3575.303589494024,9.867476851851853e-06,6.439073525783369e-05,0.15324373626641244,0.7389047078708545,8.092980260082653
1971021,3.5,-1.5,-7.2,0.0,4.2,1.2,0.02578238341968912,2.85,5.707138853945126,-3650.041485882667,9.867476851851853e-06,4.8293051443375276e-05,0.20432498168854993,0.65124097422618,7.812032588679363
1971022,3.5,1.0,-6.4,0.0,5.1,1.9,0.03130717986676535,3.7,6.560349218623522,-4053.365371366364,9.867476851851853e-06,0.00014487915433012563,0.06810832722951674,0.5773923590168709,7.950637012183179
1971023,3.6,2.6,-1.0,0.2,6.4,1.9,0.03928744140143104,1.8,9.50852313936277,-4977.907292496224,-2.2056712962962963e-05,0.0002092698895879598,-0.10539840684386724,0.7714015756095173,8.981527755023508
1971024,3.6,2.5,-0.5,2.4,6.5,0.8,0.0399013076733284,1.5,9.874511224381447,-5067.86313759273,-3.482638888888889e-06,1.609768381445833e-05,-0.21634409825846587,0.8057907420572937,9.194149115483567
1971025,6.4,7.8,-0.9,0.0,6.8,1.2,0.04174290648902048,4.35,8.44471195050789,-4799.09467118533,3.3085069444444436e-05,4.8293051443375364e-05,0.6850896444851364,0.5411794260212053,6.653968656465892
1971026,3.7,4.5,-1.0,0.0,6.9,1.2,0.042356772760917843,2.75,9.6066870932412,-5073.273513528516,-1.857407407407407e-05,1.6097683814458513e-05,-1.1538351907118045,0.6746974037373419,8.492338273584952
1971027,6.1,8.0,-1.4,0.0,7.5,2.9,0.046039970392301996,4.7,9.127844243084086,-5055.670802096249,2.2637152777777778e-05,9.658610288675036e-05,0.2343727731133371,0.5146601436454556,7.2708057055024895
1971028,6.7,10.5,0.9,2.3,7.5,5.0,0.046039970392301996,4.8,9.063799081042953,-5041.232655519135,1.1608796296296255e-06,0.0,,0.5140764969734225,6.1436706609581435
1971029,10.5,14.5,-1.6,0.1,6.9,2.4,0.042356772760917843,8.05,6.626133767321685,-4315.105372404837,3.7728587962962966e-05,-9.658610288675036e-05,-0.39062128852222855,0.3295734168443122,4.320660112340887
1971030,7.3,12.7,-1.5,0.0,7.3,2.4,0.044812237848507276,7.1,7.5041557593475,-4624.619615377332,-1.1028356481481493e-05,6.439073525783351e-05,-0.17127241112128516,0.37327564324104057,5.156046562585706
1971031,3.9,8.0,1.0,0.0,7.6,1.9,0.04665383666419936,3.5,10.075688110644753,-5271.716880010293,-4.179166666666666e-05,4.8293051443375364e-05,-0.8653763930338566,0.612750368134687,7.377556050326869
1971032,4.0,5.4,2.4,0.0,7.5,2.4,0.046039970392301996,1.5000000000000002,11.46698420630134,-5518.367849906265,-2.3217592592592586e-05,-1.6097683814458513e-05,1.4422939883897556,0.8098563207090997,8.70847650790847
1971033,4.0,7.0,0.5,0.2,6.7,4.4,0.041129040217123124,3.25,8.989811681957713,-4910.8169459720875,2.0315393518518513e-05,-0.0001287814705156672,-0.15775090498013064,0.6328236822442262,6.924424943547757
1971034,9.3,2.4,-2.5,3.7,4.1,5.0,0.025168517147791756,2.45,5.729362187557939,-3642.335007283424,-9.287037037037035e-06,-0.00041853977917591926,0.02218913828291943,0.7006413809674685,5.749778584082947
1971035,4.1,0.5,-6.4,0.1,4.5,2.4,0.0276239822353812,3.45,5.869940467956925,-3748.912231802339,1.1608796296296294e-05,6.439073525783378e-05,0.18028674854872026,0.5985936312581625,7.246315546055003
1971036,9.0,3.1,-7.7,0.3,4.3,4.4,0.02639624969158648,5.4,4.881636462146086,-3361.2295785647216,2.2637152777777778e-05,-3.2195367628916844e-05,-0.70311831934001,0.4497159436393424,5.735703030945445
1971037,9.1,4.8,-4.5,0.0,5.1,4.4,0.03130717986676535,4.65,6.134102976563285,-3921.091871847264,-8.70659722222222e-06,0.0001287814705156672,-0.06760753070577029,0.5095203250616224,6.070186282931073
1971038,4.4,6.0,-1.9,0.0,6.1,2.9,0.03744584258573896,3.95,7.757994646534487,-4529.215091652047,-8.126157407407409e-06,0.00016097683814458443,-0.050480289593641696,0.5689908348614403,6.725169047049276
1971039,4.3,4.6,1.5,0.0,6.0,7.5,0.0368319763138416,1.5499999999999998,9.053167616341863,-4820.038881958673,-2.7861111111111112e-05,-1.609768381445833e-05,1.730752786067727,0.802972973478382,7.2955443562261175
1971040,7.6,7.8,3.6,0.1,6.5,6.0,0.0399013076733284,2.0999999999999996,9.45701387362879,-4982.2880895406,6.38483796296296e-06,8.048841907229202e-05,0.07932616936143709,0.7475023632435478,6.3559523974697845
1971041,8.6,11.2,1.6,0.0,7.3,4.4,0.044812237848507276,4.8,8.810758455518819,-4955.42232883517,3.134375e-05,0.00012878147051566737,0.2433871105407727,0.5159943785799559,5.70048963323527
1971042,7.6,5.4,-5.5,0.0,4.7,1.9,0.02885171477917592,5.45,5.330527743023622,-3588.6200609434627,7.545717592592595e-06,-0.000418539779175919,-0.01802867485487206,0.45307431564378436,5.349067021758418
