DATE,std_RAD,std_Tmax,std_Tmin,std_RAIN,std_VAPO,std_WIND,std_q,std_Tavg,std_qsat,std_RH2,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,RAD,Tmax,Tmin,RAIN,VAPO,WIND,q,Tavg,qsat,RH2,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_RAD,rolling_std_RAD,rolling_mean_Tmax,rolling_std_Tmax,rolling_mean_Tmin,rolling_std_Tmin,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_Tavg,rolling_std_Tavg,rolling_mean_qsat,rolling_std_qsat,rolling_mean_RH2,rolling_std_RH2,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.3037699536168268,4.383149552547803,4.247461716658876,3.687738303229155,2.2007731138966995,1.3862211928124237,0.0013509803867197108,3.8386678274702506,0.0011833852796740484,0.2684200112745792,0.26886664586781256,9.324519918423768,1008.5690443270208,0.0421998157426884,0.040739946539004875,1.9364678875357202,0.18485849285233177,0.2581543668167163,3.486666666666665,2.62,-2.4899999999999998,1.6700000000000002,5.1066666666666665,3.0333333333333337,0.0031348104284891856,0.06499999999999999,0.003912022691085867,0.8019145529279772,0.804160193042782,-4.450847338345843,569.4235319371244,-0.0002401819923371643,0.00044407403626091845,0.6063782799367377,0.7159592518340664,0.6770244706993805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.6195252603666042,4.622843082013442,4.151749388933025,3.91924957630658,2.2082109053029444,1.6716706489678788,0.0013555461960014128,4.038619600291921,0.001099131391255898,0.2689042632605974,0.2693835645151768,9.394866793597762,1062.1352804812132,0.04069996632151,0.04074288656904036,1.9031180817676006,0.16245724224771516,0.25399808789675865,3.869999999999999,2.5033333333333334,-2.6433333333333326,1.55,5.003333333333333,2.900000000000001,0.0030713775803931243,-0.06999999999999997,0.003878180282719004,0.7989479322027903,0.8011529510035603,-4.792773853983898,596.7380509677067,-0.0015671875000000007,-0.001663427327494038,0.7200043859102188,0.7081300770139013,0.676878965853384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.3105627465496177,4.573381253728364,3.3148655075784506,4.8658899553392345,2.1141694926561967,1.805562923651338,0.0012978173446159926,3.7088977356882062,0.0010078770263873356,0.25896953949648627,0.25946895524330604,9.298869557497634,974.5366927126857,0.021824872394955085,0.03900442736454275,1.7782008932444757,0.13731851129644196,0.2295084447882639,3.7366666666666677,2.9066666666666667,-2.2166666666666672,1.7633333333333334,5.016666666666667,2.883333333333334,0.0030795624640184227,0.34500000000000014,0.003972275769448729,0.7691153200734278,0.7714260376428475,-4.682282235808186,630.6893241280579,0.004817650462962963,0.00021463578419278161,0.13758835575372486,0.7057000251638105,0.6435598370080428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.5711808283588171,4.80520431467249,5.0539491784989865,1.7871829756647044,2.188107879414089,2.5285587189943404,0.0013432056264451651,4.607819440906946,0.001225633567151768,0.2171935183800566,0.2176600379692855,8.382037341756579,899.008024497727,0.03767732971435593,0.038588348687958844,2.3113185325143393,0.18520109515345526,0.2123824598380891,3.996666666666668,2.5966666666666667,-2.7366666666666664,0.8666666666666668,5.133333333333334,3.0466666666666677,0.003151180195739781,-0.06999999999999998,0.0039177845615741055,0.8083164999931418,0.8106272284285284,-4.0918822537679596,518.6739299305839,-0.004817650462962964,0.0018780631116868153,0.9928309863623979,0.7003563190566662,0.678304761254306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.6651291758941082,4.208005506748724,5.821194924139508,0.9280061434596489,2.1182187268345647,1.2087848938252952,0.0013003030329051064,4.742764907257922,0.0012145286820796886,0.18141621906438346,0.18175375972187574,7.112791608098105,628.9197148867433,0.028416071235200024,0.023660932878954433,1.428723930784139,0.16939380936301604,0.1759061230220445,3.990000000000001,2.46,-3.6299999999999994,0.5466666666666666,5.093333333333333,2.1433333333333326,0.003126625544863887,-0.5849999999999996,0.0037837202986427602,0.81959148418698,0.8218912683730991,-3.8386367896260865,430.44769161761684,-0.005978530092592594,-0.0006439073525783374,0.9024769804747651,0.6610633779835303,0.6682279444859346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.609883268417631,5.091778362866133,5.3837772494099685,3.2630093296001275,2.1171033127321897,1.009318650343406,0.0012996183178084595,4.940583752563248,0.0012910916890984763,0.18998904398937536,0.1902064852081495,7.6497338245746755,637.2773233395282,0.031735117381896015,0.025506505477826555,1.5364567617338885,0.17025249480974755,0.2095148268695905,4.000000000000001,2.3999999999999995,-3.6333333333333337,1.436666666666667,5.383333333333334,2.2299999999999995,0.00330464676371412,-0.6166666666666669,0.003792873609303462,0.8644252660684882,0.8667214822171786,-3.157295133998186,344.99580654214867,-0.0003676118827160507,0.004668328306192942,1.1729435450864367,0.6636771041451881,0.7098880748948672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.7143780079151123,5.345855629718511,4.205143265699454,1.6477640719416142,2.186187044400238,1.6323454671539142,0.0013420264906162823,4.370428317471975,0.0011560553813401862,0.243503593204765,0.2438557753860051,8.488590537762645,875.5479060526125,0.025429822046439624,0.032646640711073927,1.8097208400244975,0.22794358404893683,0.23898617190111837,4.056666666666667,2.21,-2.656666666666667,0.7733333333333333,5.070000000000001,2.1599999999999993,0.0031123019985196147,-0.22333333333333327,0.0038566790597572577,0.8076477294441102,0.8099009650545397,-4.288680956354214,523.0617456662724,0.0045661265432098775,-0.005043940928530302,0.4306446320146267,0.7335694530043179,0.6880252209193387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.4620918725162797,5.302449011281615,5.904302931206043,0.985579938965863,2.53046722322501,1.4318383007659174,0.0015533684804796015,5.426175385144201,0.001416363494784355,0.2831573365502123,0.2835870677062395,10.799497145705407,1032.1289140484853,0.04239607220646467,0.030728954355342283,1.7215614613507932,0.14787842081742147,0.272959815562451,3.723333333333333,1.03,-4.069999999999999,0.2633333333333333,4.813333333333333,2.3533333333333335,0.0029547429887326264,-1.5200000000000002,0.0035951779073783064,0.805971744927621,0.8080333800708812,-6.014467514366941,585.2656531069222,-0.015052739197530866,-0.004131738845710996,1.0305313888467096,0.7009941049219408,0.6808051611587146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.3451530699549386,5.107717847453538,5.510904550572187,1.240615346020518,2.3615721434048433,1.6328383017127663,0.0014496894874885889,4.961502367945261,0.0013205994020649861,0.2577187334813179,0.25826191911832347,10.459542605570293,945.0485685400677,0.022019671359509458,0.026955423933837087,1.9741623909718755,0.22855785466001777,0.24520794668277873,3.6766666666666654,1.0533333333333332,-3.64,0.2866666666666667,4.756666666666665,2.3733333333333335,0.0029199572333251096,-1.293333333333333,0.003619038331468369,0.780722433384238,0.7828620355759484,-5.9581784950594585,604.4856482842389,0.0026313271604938254,-0.0009122020828193119,0.2508530648872144,0.7369641832443605,0.6740872031848429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.380304813912617,4.68858849430887,5.178052711691671,1.7596401147204315,2.494508912119513,1.69040905067995,0.0015312948860975446,4.614495215292137,0.0011949073428372868,0.31128617042004536,0.3118024709709971,11.032785008723094,1193.4950628381118,0.03201926584146751,0.03684366433719594,2.281576901219415,0.19096070010708013,0.2891554761722111,3.739999999999999,0.83,-3.3866666666666663,0.6766666666666665,4.713333333333333,2.31,0.00289335636154289,-1.2783333333333329,0.0035940529926456106,0.8023730454349608,0.8043433947639647,-6.4002461139404945,652.7658299909308,0.00017413194444444724,-0.0006975662986265315,0.45019363718440547,0.7562835596482725,0.6915701810841931,3.827666666666667,0.1840226099903341,2.061,0.7746158745380961,-3.110333333333333,0.6296764797384465,0.9833333333333334,0.5727818191472903,5.0089999999999995,0.2015008501038961,2.5433333333333334,0.37428780106315485,0.0030748561559338764,0.0001236945756374268,-0.5246666666666666,0.647209966502943,0.003792180550402347,0.00014230001974151272,0.8059026008643734,0.02513350928157303,0.8081118936173329,0.025157593635435006,-4.767529068525127,1.048170175827423,545.6547212171603,95.26763791874203,-0.0015834665017028526,0.00590786903185055,-0.000588768159742606,0.00277108333306768,0.6694445256457235,0.3515833553625362,0.7082697456016055,0.030123866220954726,0.6788371820543004,0.017001939464666205
