DATE,std_SRAD,std_Tmax,std_Tmin,std_RAIN,std_VAPO,std_WIND,std_q,std_Tavg,std_qsat,std_RH2,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,Tmax,Tmin,RAIN,VAPO,WIND,q,Tavg,qsat,RH2,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_Tmax,rolling_std_Tmax,rolling_mean_Tmin,rolling_std_Tmin,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_Tavg,rolling_std_Tavg,rolling_mean_qsat,rolling_std_qsat,rolling_mean_RH2,rolling_std_RH2,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.4561995884422267,6.101008019219014,4.412912088796724,4.474408713264059,1.541681422731494,1.3470657767520307,0.0009463862274255999,4.807453504237176,0.0015336153247581298,0.12271005810730552,0.12213169384847232,3.7975951691542478,255.83949844723577,0.03046409574139604,0.012895482026504416,2.407338637911187,0.17768475782335083,0.163916283921398,3.75,4.666666666666666,-2.6,1.9633333333333336,5.533333333333335,0.83,0.003396726704498725,1.033333333333333,0.004268353159976628,0.8210027676802053,0.8236689462872576,-1.8157088793531455,375.10596315579613,-0.003402578224776501,0.0006106017998587648,0.929709025328243,0.622259344735483,0.6531297452975301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.5422069572046986,5.599737268056812,3.8304526907523546,7.224333083804147,1.4778673668577258,0.693185218485245,0.0009072129308517203,4.325298474851387,0.0013143050357376767,0.10734405846275513,0.10697567343371313,3.8282647848754974,231.54547876148925,0.04587638535719889,0.019065480217833615,2.511555211681945,0.16178293897309948,0.1514628607905632,3.823333333333333,4.613333333333333,-2.1733333333333333,3.606666666666667,5.606666666666668,0.4533333333333332,0.0034417435644378655,1.22,0.004278675915165666,0.8183888603402479,0.8210781672273231,-1.6251507606529956,372.01661315468147,0.0021669753086419755,0.0011804968130602839,1.322119895299381,0.6392930223153229,0.6609660175520867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.6179346846143576,6.089595422833367,3.585765280059218,4.205881213444954,1.4823288604674445,1.3705607544392897,0.0009099516913010121,4.4939822470478905,0.0013126270739341533,0.11501645833482328,0.11473739902151651,4.208878902608852,259.38561348643196,0.02850364589020739,0.01574607845542503,1.5327635514320221,0.1763657375542994,0.16464594084834772,4.123333333333334,5.16,-2.043333333333334,2.1766666666666663,5.516666666666667,0.8466666666666666,0.003386495599967103,1.5583333333333336,0.004390984305661451,0.7829784242768659,0.7857341643839054,-1.9144391664946379,448.6229776699461,0.003927642746913581,-0.0014487915433012534,1.189856218915436,0.625848870766086,0.6271139190730531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.3855618388204123,5.499304031201239,5.265039760358977,3.129079406316573,1.755529850920019,1.4208990192791695,0.0010776605647888004,4.991488157151983,0.0014138274023776487,0.11689542688423042,0.11664492011706881,4.764093323643414,246.73394247921354,0.021900506804932465,0.016795749629832265,1.3026481926635902,0.1632486842530826,0.14646836298355792,3.976666666666667,5.479999999999999,-2.9266666666666667,1.07,5.553333333333334,0.7033333333333333,0.0034090040299366723,1.2766666666666668,0.004344316656226402,0.7945226431880441,0.7972503990887062,-1.983921623531611,428.9094141629409,-0.0032698109567901247,0.0005902484065301393,0.7723481254167248,0.5689468268708695,0.6037144929259584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17.511059231305765,5.967044552343746,5.072247002579076,6.6888730731346495,1.800332025571631,1.0330236836754918,0.0011051631087150796,5.149707055612066,0.0014065681117615139,0.10724587865129748,0.10702754866764123,4.941478796184695,228.98563294344794,0.029671905002575348,0.015985907174912873,1.4913370792581393,0.1680155606556102,0.15052024572815093,7.526666666666667,4.029999999999999,-3.3299999999999996,3.5033333333333334,5.346666666666667,0.59,0.003282138333744551,0.35000000000000003,0.004081560528449639,0.8126182091491939,0.8151840218308719,-2.5649356019590868,390.97988478294576,-0.010757484567901236,-0.003326854654988073,1.1057248359455842,0.6114103267069478,0.6399229311783093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17.549486353291595,6.722065227260164,5.535508158670949,2.012775289945724,1.8771952666053457,0.675013835532961,0.0011523468599343946,5.729197502529346,0.0016127223843722602,0.11499677640296281,0.11462328036310006,5.270441404736567,257.5173111434358,0.02756366724038014,0.01836845882026929,1.5101693530546367,0.1890793401323478,0.1687910672581065,7.363333333333334,4.826666666666667,-2.8233333333333333,0.9666666666666668,5.54,0.42333333333333323,0.003400819146311374,1.0016666666666665,0.004329446478831772,0.8010744451426561,0.8037862222678118,-2.1520622250583417,420.2165054273714,0.0075650655864197515,0.0031122188707952947,1.2660682254204643,0.6069717658683829,0.6308730012866033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.9023548625292035,7.678843902447875,5.010581905775291,2.9227683303066763,1.6788611356046335,0.6328279895578388,0.0010305962263469843,5.794541624984514,0.0017585454345261033,0.15497434712795852,0.1543204051209805,4.651927773922942,345.7062797130104,0.02896081997286502,0.019784929085847766,1.7008531618934384,0.21127994635192882,0.1888217965501939,4.136666666666668,4.853333333333334,-3.06,1.653333333333333,5.473333333333333,0.3433333333333333,0.0033598947281848835,0.8966666666666667,0.004317214270489541,0.8163774703208216,0.8190396964448154,-2.147390796742842,407.3444338206321,-0.0012189236111111103,-0.0010731789209638936,1.2092020651364768,0.6115548949440212,0.64400211527927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.5448431085016554,6.200227100030613,5.698316952570646,1.6648357759609624,2.083862461541233,0.6866209113201177,0.001279212880413173,5.669153274570614,0.0015607975603218035,0.0886182137147775,0.08851354509035221,5.675555877247906,188.94877152321618,0.03563702044338728,0.015875970273536693,2.226971779920691,0.1570589165535825,0.1358112482327865,3.936666666666667,3.083333333333334,-3.156666666666667,1.0933333333333335,5.4399999999999995,0.45999999999999996,0.0033394325191216396,-0.03666666666666689,0.004020023660179753,0.8333168331248524,0.8358601764689622,-2.554653393522502,346.6263475242486,-0.010834876543209878,-0.0005365894604819506,1.1709658926068756,0.6566488857279001,0.6789373069196335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.6908169826937267,5.965725861743168,5.450968489292922,2.4483538922323294,1.955716642616434,0.6337264357767464,0.001200548484290572,5.212963505123273,0.0014222594593905733,0.11115896829161707,0.11123783840824465,5.747373381298573,249.2268278100101,0.02133510799591466,0.0124806729406392,1.8360630780207616,0.19381795534403398,0.1651146974845755,4.109999999999999,3.033333333333333,-3.526666666666666,1.3266666666666669,5.3,0.4333333333333333,0.003253491241056008,-0.24666666666666662,0.0039201280171281706,0.8261133708836318,0.8285750910074129,-2.9038926187517324,362.22280685713326,-0.0024378472222222215,-0.0022536757340241797,0.8260212284448294,0.6531400778737257,0.6711726350723065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.7721504567556645,6.266756846991141,4.7091510326465285,2.7011470530681687,1.851920407415583,0.5568383657016113,0.001136831476350844,5.201418904557645,0.001539302649973249,0.10571932867144433,0.105396777259432,4.836866443315108,225.99547044506872,0.02523472995418746,0.014898019334898819,1.613509569513543,0.15751078305573826,0.14915401168724873,4.35,4.25,-3.11,1.1966666666666665,5.426666666666667,0.36000000000000004,0.0033312476354963407,0.57,0.004159713192301339,0.8130295672797956,0.8156459839060767,-2.3440132565923695,389.6499977591207,0.00948051697530864,0.0020390399498314018,1.1753568746617535,0.6098047515017427,0.6420849803733368,4.709666666666667,1.452196675793326,4.399666666666667,0.8171063820006376,-2.875,0.47905578427198237,1.8556666666666666,0.9797531183106825,5.473666666666667,0.09630776285006988,0.5443333333333333,0.187709060404725,0.003360099350275516,5.912008733554716e-05,0.7623333333333332,0.5887721058207434,0.004211041618441036,0.0001576957351910626,0.8119422591386314,0.015140492725448672,0.8145822868913143,0.015069603499877062,-2.2006168322659265,0.3925118230958687,394.16949443148167,31.95444529628264,-0.0008781320508727125,0.006850284017198905,-0.00011064844736834658,0.0019866670660997404,1.096737238717577,0.1882596914525998,0.6205878767310483,0.025548844252542783,0.6451917144958087,0.02215258544548839
11,1.7559913858349183,6.19384566629901,4.54234862537903,2.7976693912949226,1.6852606469848699,0.6051977923093341,0.0010345246705399348,4.945812404936887,0.0014990104616501394,0.10334095455771534,0.10281932955970903,4.256831028382383,213.25675110339103,0.022890720702326797,0.008783387285458213,1.9979699982685282,0.18141853350029266,0.16053428590659358,4.216666666666666,4.880000000000001,-3.15,1.1833333333333331,5.669999999999999,0.3166666666666666,0.0034806217616580306,0.865,0.0042258897424558095,0.8419285822943992,0.8445854985267657,-1.5810244566470102,329.70239301383845,0.003424594907407406,0.003917103061518216,1.344194278135114,0.5896280830894349,0.6524120550278831,4.756333333333334,1.425177874971627,4.421,0.82756977252378,-2.9299999999999997,0.47553478667005317,1.7776666666666663,1.0010464278030684,5.487333333333334,0.11382030455237381,0.493,0.1702898763147964,0.0033684888559914463,6.987044602178757e-05,0.7454999999999998,0.5825365192812346,0.004206795276688954,0.0001565485525991023,0.8140348406000507,0.0177526475939904,0.816673942115265,0.017694040617917274,-2.177148389995313,0.42384780855001825,389.62913741728596,37.677313672329795,-0.00019541473765432183,0.006910677097727582,0.00022000167879759853,0.002360105918588434,1.1381857639982642,0.19296866833828946,0.6173247505664434,0.0273331830832178,0.6451199454688441,0.022125156254902606
